"State","value","count","pro"
"AE",-43,6,-7.16666666666667
"AK",-157,14,-11.2142857142857
"AL",-190,34,-5.58823529411765
"AP",-2,2,-1
"AR",-56,31,-1.80645161290323
"AZ",-954,174,-5.48275862068965
"CA",-10084,1451,-6.94968986905582
"CO",-443,56,-7.91071428571429
"CT",-658,100,-6.58
"DC",-205,39,-5.25641025641026
"DE",-233,24,-9.70833333333333
"FL",-4463,703,-6.34850640113798
"GA",-2684,360,-7.45555555555556
"HI",-293,19,-15.4210526315789
"IA",-92,20,-4.6
"ID",-110,18,-6.11111111111111
"IL",-1722,281,-6.12811387900356
"IN",-369,47,-7.85106382978723
"KS",-253,27,-9.37037037037037
"KY",-90,21,-4.28571428571429
"LA",-12,15,-0.8
"MA",-1347,201,-6.70149253731343
"MD",-1031,185,-5.57297297297297
"ME",-105,11,-9.54545454545454
"MI",-1211,218,-5.55504587155963
"MN",-303,47,-6.4468085106383
"MO",-658,87,-7.5632183908046
"MS",-55,17,-3.23529411764706
"MT",-19,6,-3.16666666666667
"NC",-991,164,-6.04268292682927
"ND",2,1,2
"NE",-62,9,-6.88888888888889
"NH",-64,9,-7.11111111111111
"NJ",-2086,289,-7.21799307958478
"NM",-227,28,-8.10714285714286
"NV",-1033,128,-8.0703125
"NY",-2359,448,-5.265625
"OH",-319,62,-5.14516129032258
"OK",-203,34,-5.97058823529412
"OR",-300,77,-3.8961038961039
"PA",-1170,194,-6.03092783505155
"PR",-28,6,-4.66666666666667
"RI",-260,24,-10.8333333333333
"SC",-892,134,-6.65671641791045
"SD",-50,3,-16.6666666666667
"TN",-389,74,-5.25675675675676
"TX",-3997,562,-7.11209964412811
"UT",-50,12,-4.16666666666667
"VA",-1472,229,-6.42794759825327
"VT",-10,2,-5
"WA",-1202,156,-7.7051282051282
"WI",-247,30,-8.23333333333333
"WV",-59,9,-6.55555555555556
"WY",-30,2,-15
